SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
542649,RVNL        ,A ,Q,31.05,31.35,30.30,30.60,30.80,31.00,1038,306623,9417108.00,
542650,METROPOLIS  ,A ,Q,2186.05,2200.50,2130.00,2143.40,2141.20,2164.20,709,2969,6405080.00,
542651,KPITTECH    ,A ,Q,136.65,136.65,134.70,135.20,135.45,136.35,453,22362,3029577.00,
542652,POLYCAB     ,A ,Q,1294.00,1307.90,1270.05,1302.00,1302.00,1297.60,2606,22775,29404960.00,
542653,JINAAM      ,M ,Q,4.85,4.85,4.50,4.50,4.50,4.75,10,36000,164340.00,
542655,VIKASMCORP  ,B ,Q,3.50,3.51,3.49,3.49,3.49,3.67,857,993425,3467509.00,
542665,NEOGEN      ,A ,Q,754.95,754.95,734.95,743.60,743.50,749.50,805,7095,5270743.00,
542666,GKP         ,M ,Q,35.00,35.00,35.00,35.00,35.00,36.00,1,4000,140000.00,
542669,BMW         ,X ,Q,24.55,24.60,24.55,24.55,24.55,24.50,21,2501,61399.00,
542670,ARTEMISELC  ,B ,Q,52.90,53.90,49.50,50.55,51.85,51.45,109,9439,485735.00,
542677,MAHESH      ,XT,Q,5.60,5.60,5.60,5.60,5.60,5.70,1,8,44.00,
542679,DEL         ,X ,Q,17.50,17.50,17.45,17.45,17.45,17.50,10,1452,25405.00,
542682,HARISH      ,XT,Q,27.45,27.95,27.05,27.05,27.05,27.00,3,2265,62248.00,
542684,PPL         ,B ,Q,108.00,114.50,108.00,112.65,112.75,112.50,337,14154,1599984.00,
542685,DGCONTENT   ,B ,Q,16.23,16.23,16.23,16.23,16.23,15.46,27,7106,115330.00,
542721,ARL         ,M ,Q,32.50,32.75,32.50,32.75,32.75,33.25,3,12000,391200.00,
542725,SBC         ,M ,Q,42.30,42.45,42.25,42.25,42.25,42.45,19,60000,2540250.00,
542726,INDIAMART   ,A ,Q,9110.00,9539.95,9110.00,9333.30,9333.30,9103.80,5594,21636,201628811.00,
542729,DCMNVL      ,T ,Q,74.85,77.50,71.05,72.45,71.05,73.85,71,17684,1358734.00,
542730,ICICIBANKN  ,B ,Q,358.40,358.40,352.89,354.00,354.00,355.63,34,190,67487.00,
542752,AFFLE       ,A ,Q,4280.00,4631.45,4256.10,4631.45,4631.45,4210.45,7770,31355,141034502.00,
542753,SEACOAST    ,X ,Q,118.00,120.00,113.50,114.70,115.00,119.45,106,5740,652898.00,
542758,ICICIBANKP  ,B ,Q,189.00,189.00,186.35,187.00,187.00,189.52,30,93,17421.00,
542759,SPANDANA    ,A ,Q,754.95,754.95,708.45,715.80,714.40,760.50,571,5535,4011105.00,
542760,SWSOLAR     ,A ,Q,237.90,245.10,236.25,239.65,239.65,235.90,2088,220379,52982883.00,
542772,IIFLWAM     ,A ,Q,1203.15,1223.00,1202.15,1216.65,1216.65,1203.15,491,2829,3435443.00,
542773,IIFLSEC     ,A ,Q,46.35,47.85,46.35,47.50,47.50,46.90,439,81462,3838196.00,
542774,APMFINVEST  ,X ,Q,23.65,27.00,23.65,25.70,25.85,24.55,41,6920,177470.00,
542803,ELLORATRAD  ,XT,Q,96.75,100.50,96.75,98.00,97.00,96.00,26,13056,1269638.00,
542804,NIESSPJ     ,B ,Q,20.75,20.75,18.68,18.68,18.68,20.75,13,567,11581.00,
542808,NIESSPC     ,B ,Q,3.99,3.99,3.99,3.99,3.99,3.63,3,975,3890.00,
542812,FLUOROCHEM  ,A ,Q,575.00,587.70,557.50,579.20,580.65,565.85,636,7765,4471060.00,
542830,IRCTC       ,A ,Q,1649.00,1674.55,1611.20,1618.40,1618.40,1641.45,8341,150026,245573018.00,
542839,NIEHSPD     ,B ,Q,0.81,0.94,0.81,0.82,0.82,0.90,34,20565,17059.00,
542844,NIEHSPH     ,B ,Q,0.55,0.55,0.55,0.55,0.55,0.50,1,1,0.00,
542845,NIEHSPJ     ,B ,Q,2.84,2.84,2.84,2.84,2.84,2.59,1,1,2.00,
542847,NIESSPL     ,B ,Q,1.55,1.55,1.30,1.55,1.55,1.41,16,6347,9424.00,
542848,NIESSPM     ,B ,Q,21.69,21.69,21.69,21.69,21.69,19.72,4,40,867.00,
542852,VISHWARAJ   ,B ,Q,147.00,147.10,142.10,146.00,147.10,149.05,327,31120,4455626.00,
542857,GREENPANEL  ,B ,Q,166.85,182.90,165.50,180.50,180.50,174.20,2096,84409,14514979.00,
542862,SHAHLON     ,XT,Q,95.00,98.80,90.05,97.55,95.00,94.65,38,5463,530768.00,
542863,ABSLBANETF  ,B ,Q,355.10,355.10,353.37,353.37,353.37,355.10,2,6,2128.00,
542865,ANUROOP     ,M ,Q,9.30,9.30,9.30,9.30,9.30,9.30,1,10000,93000.00,
542867,CSBBANK     ,A ,Q,218.10,220.15,217.00,218.45,219.00,220.20,452,11696,2556520.00,
